Position;TimePoint;SeedX;SeedY;CentroidX;CentroidY;Area;Eccentricity;SumCh00;StdDevCh00
1;1;853;1337;844.942;1361.74;834;0.979229;43.8235;0.00457564
1;1;620;1920;619.355;1947.85;1956;0.853228;116.408;0.00405228
1;1;585;1601;603.08;1627.49;1433;0.978;86.9608;0.0047073
1;1;1470;965;1471.88;979.182;936;0.831452;50.451;0.00511708
1;1;1530;835;1531.66;853.761;928;0.397552;51.8235;0.0047594
1;1;757;1352;760.125;1370.43;1202;0.456643;70.9451;0.00376991
1;1;1085;553;1090.96;572.42;1025;0.754418;56.6902;0.00466176
1;1;1783;1192;1783.71;1229.85;853;0.998881;47.5176;0.0028598
1;1;1685;326;1670.47;368.013;1794;0.993309;109.118;0.00406053
1;1;1203;1055;1196.37;1070.7;1064;0.963986;59.4078;0.00442728
1;1;979;2011;978.014;2027.05;943;0.869812;54.1373;0.00493439
1;1;1744;781;1742.33;803.801;1722;0.826794;106.761;0.00347264
1;1;1569;524;1563.69;547.672;1415;0.885212;82.3686;0.00410647
1;1;1601;321;1618.02;349.159;1284;0.964763;77.7765;0.00319437
1;1;1293;203;1296.29;220.087;1278;0.875281;76.4941;0.00384193
1;1;1376;418;1379.08;440.666;1484;0.899951;84.1765;0.00414788
1;1;1349;102;1354.87;134.555;1201;0.986228;70.2039;0.00348992
1;1;1562;597;1548.94;627.945;1423;0.962586;82.0039;0.00446769
1;1;1519;707;1501.15;723.481;1299;0.979985;75.7647;0.00412196
1;1;877;79;879.692;100.647;835;0.910634;44.349;0.00397563
1;1;1621;400;1612.94;415.236;792;0.977544;38.8902;0.00751609
1;1;1104;249;1104.69;271.616;1034;0.851726;62.3176;0.0032388
1;1;884;319;868.601;335.465;1103;0.973268;53.7529;0.00697869
1;1;1644;1094;1653.63;1117.81;1388;0.905758;84.3725;0.00309333
1;1;1274;1459;1281.67;1472.21;729;0.851088;37.4235;0.00464194
1;1;1738;874;1746.29;895.762;1121;0.816673;67.4431;0.00344065
1;1;1701;1047;1700.95;1072.39;1394;0.912912;84.498;0.00341105
1;1;1257;257;1244.69;273.409;1068;0.804673;51.9569;0.00785365
1;1;1183;984;1189.03;996.099;717;0.925363;37.8941;0.00381291
1;1;1334;153;1341.34;174.634;755;0.943486;40.2627;0.00486285
1;1;1299;114;1302.97;138.24;1314;0.89139;78.1608;0.00351328
1;1;1095;503;1097.17;516.488;543;0.725418;29.6588;0.00322343
1;1;1076;474;1080.04;485.136;537;0.818931;26.6745;0.00576244
1;1;1143;972;1144.05;990.775;1267;0.874814;73.0039;0.00551911
1;1;1143;1016;1140.65;1029.49;834;0.932103;44.9647;0.00558759
1;1;1011;590;1015.96;620.056;1223;0.982602;69.9569;0.00408296
1;1;892;847;892.051;861.534;802;0.762309;40.3608;0.00457802
1;1;1050;519;1057.43;539.71;834;0.93078;39.9059;0.00785038
1;1;965;623;975.405;639.678;1390;0.958323;82.698;0.00503449
1;1;827;1743;827.438;1758.13;637;0.917019;34.0314;0.00354451
1;1;860;1761;842.094;1781.18;828;0.987041;47.1137;0.00427965
1;1;991;831;990.479;853.602;1185;0.603747;68.9804;0.005336
1;1;928;862;930.022;886.63;1394;0.653118;80.3059;0.005484
1;1;734;1843;728.532;1870.35;1884;0.721448;118.667;0.00494069
1;1;708;1896;719.346;1916.85;1529;0.774625;94.8;0.00608834
1;1;758;1753;745.357;1778.34;1352;0.834385;77.2275;0.00438885
1;1;781;1798;784.419;1818.76;1080;0.734337;62.7373;0.00656749
1;1;820;1420;816.736;1437.41;833;0.77857;49.5059;0.00527085
1;1;857;1413;856.242;1429.18;557;0.87979;30.1686;0.00349336
1;1;758;1924;760.942;1937;672;0.63424;33.498;0.00505289
1;1;814;1364;805.074;1390.61;1263;0.910331;73.2314;0.00551603
1;1;740;1402;744.497;1423.76;1426;0.659204;84.4471;0.0052986
1;1;1030;333;1028.3;343.937;491;0.900457;27.4039;0.00333101
1;1;838;1457;845.197;1471.53;944;0.867334;54.949;0.0064117
1;1;800;1470;797.111;1485.27;687;0.672216;35.4039;0.00388511
1;1;1044;376;1053.62;390.655;894;0.873876;52.9176;0.00569924
1;1;1208;317;1206.22;337.631;857;0.914089;47.1216;0.00465016
1;1;991;296;995.005;315.288;787;0.731781;41.698;0.00465324
